scheme_name,link,authority,source,description,main_category,gender,caste_category,income_group,age_group,sector,benefit_type,occupation,disability_status,marital_family_status,raw_tag_1,raw_tag_2,raw_tag_3,raw_tag_4,raw_tag_5,raw_tag_6,raw_tag_7,raw_tag_8,raw_tag_9,raw_tag_10,raw_tag_11,raw_tag_12,raw_tag_13,raw_tag_14,raw_tag_15
Scheme of Internship for Post-Graduate/Research Students,https://www.myscheme.gov.in/schemes/sipgrs-mospi,Ministry of Statistics and Programme Implementation,myscheme,MoSPI is implementing the scheme of Internship for Post-graduate/Research Students of Statistics/ Mathematical Statistics/ Operations Research/ Economics/ Demography or any of the applied field of Statistics of recognized Universities//Institutions.,Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Not Specified,Student,Not Specified,Not Specified,Education,Internship,Statistics,Student,Student / Youth,Research,Economics,Recognized Universities,Universities Institutions,Applied,,,,,
Scheme of Internship of Students to DRDO Labs/Estts for Project Training,https://www.myscheme.gov.in/schemes/sisdrdolept,Ministry of Defence,myscheme,The scheme aims to provide an opportunity and exposure to future graduates and postgraduates in Engineering and General Sciences to the research and development activities carried out by DRDO in state-of-the-art technology in fields relevant to the defense sector.,Education,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Skill Training,Student,Not Specified,Not Specified,DRDO,Graduate,Internship,Postgraduates,Project Training,Student,Education,Student / Youth,Skill Training,,,,,,
Scheme of Pension for Eminent Sports Persons,https://www.myscheme.gov.in/schemes/spesp,Punjab,myscheme,"The scheme “Scheme of Pension for Eminent Sports Persons” was launched by the Department of Sports, Government of Punjab to provide pension to eminent veteran sportsmen who have excelled at International level during their youth and made the nation proud.",Social Welfare,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Pension,Not Specified,Not Specified,Not Specified,Eminent,Pension,Sports,Sports Person,Social Welfare,Student / Youth,Proud,Veteran,Excelled,International Level,,,,,
Scheme of Personal Assistance Allowance to Differently Abled Persons with High Support Need,https://www.myscheme.gov.in/schemes/sopaatdapwhsn,Tamil Nadu,myscheme,"The ""Scheme of Personal Assistance Allowance to Differently Abled Persons with High Support Need"" was launched by the Department for the Welfare of Differently Abled Persons, Govt. of Tamil Nadu. The scheme aims to provide a personal assistance allowance of ₹1,000 to differently abled person.",Health,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Allowance,Financial Assistance,Person With Disability,Personal Assistance,Social Welfare,Health,Public Administration / Welfare,Financial Assistance / Grant,Persons with Disability,,,,,,
Scheme of Post Matric Scholarship to Lower Income Group Student for Studies in India,https://www.myscheme.gov.in/schemes/pmslig,Haryana,myscheme,"The scheme ""Post Matric Scholarship to Lower Income Group Students for Studies in India"" aims to provide financial assistance to students from the Lower Income Groups to enable them to complete their education. Students are provided maintenance allowances, tuition fees, and additional benefits.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,College,Education,Financial Assistance,Post Matric,Scholarship,School,Student / Youth,Financial Assistance / Grant,Student,,,,,,
Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties,https://www.myscheme.gov.in/schemes/spdicv,,india_only,"The ""Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties""  introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to promote the cultivation and production of local cotton seed varieties across Gujarat.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Farmer,Not Specified,Not Specified,Agriculture,Cotton Seed,Subsidy,Farmer,Varieties,Production,Promote Cultivation,Certified,Indigenous,Domestic,,,,,
Scheme of Providing Assistance to Encourage Farmers for Adoption of Organic Farming,https://www.myscheme.gov.in/schemes/spafof,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to promote organic farming by providing financial assistance to farmers for certification, input subsidies, and residue testing.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Organic Farming,Financial Assistance / Grant,Residue,Promote Organic,Input,Dept Gujarat,Cooperation Dept,Testing,,,,,
"Scheme of Publication Grant/Subsidy for Publication of Doctoral Thesis/Research Report/ Papers Presented in Seminars/Conferences, etc.",https://www.myscheme.gov.in/schemes/publication-grant,Ministry of Education,myscheme,"The Indian Council of Social Science Research (ICSSR), under the Ministry of Education, Government of India, provides financial assistance for the publication of high-quality doctoral theses, research project/fellowship reports, and seminar/conference papers in the field of social sciences.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Academic Publishing,Doctoral Thesis Support,ICSSR Grants,Research Promotion,Social Science Research,Education,Financial Assistance / Grant,Seminar,Research Project,Papers,,,,,
Scheme of Scholarship for Sainik Schools,https://www.myscheme.gov.in/schemes/sosfss,Meghalaya,myscheme,"""Scheme Of Scholarship For Sainik Schools"" was launched by the Directorate Of Higher and Technical Education, Meghalaya, to prepare young boys for a career in the Cadre of the Armed Forces. The scholarships are awarded to students whose family income is less than ₹8,000/- per month.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Education,Sainik,Scholarship,School,Student,Student / Youth,Cadre Armed,Directorate Higher,Prepare,Higher Technical,,,,,
Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,https://www.myscheme.gov.in/schemes/splfom,Gujarat,myscheme,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Agriculture,Liquid Manure,Organic Farming,Soil Health,Financial Assistance / Grant,Carbon,Organic Manure,Use,Enhance Organic,Increasing,,,,,
Scheme or assistance for Start Ups/ Innovation: Assistance to Startups having a Significant Impact on Society,https://www.myscheme.gov.in/schemes/sfasisssis,Gujarat,myscheme,"The ""Scheme for Assistance for Start Ups/ Innovation"" under the Gujarat Industrial Policy, aims to drive economic growth by generating jobs, fostering competition, and introducing next-gen solutions.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Entrepreneurship,Innovation,Start Up,Next-gen Solutions,Ups,Jobs Fostering,Growth Generating,Introducing Next-gen,Fostering Competition,Generating Jobs,,,,,
Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole,https://www.myscheme.gov.in/schemes/saifgp,Gujarat,myscheme,"""Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole"" aims to support animal welfare organizations like gaushalas and panjrapoles by offering financial assistance for the development and construction of essential infrastructure.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Agriculture,Animal Husbandry,Animal Welfare,Infrastructural Facilities,Financial Assistance / Grant,Gaushalas,Panjrapoles Offering,Development Construction,Essential Infrastructure,Like,,,,,
Scheme to Award Scholarship to Young Artists,https://www.myscheme.gov.in/schemes/stastya,Tamil Nadu,myscheme,"The ""Scheme to Award Scholarship to Young Artists"" was launched by the Art and Culture Department, Government of Tamil Nadu. The scheme aims to encourage the postgraduate and graduate students of the Government College of Fine Arts, Chennai & Kumbakonam by awarding scholarships every year.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Artist,Award,Financial Assistance,Scholarship,Student,Education,Student / Youth,Financial Assistance / Grant,,,,,,,
Scheme to Encourage Farmers to Add Value to Crops,https://www.myscheme.gov.in/schemes/sefavc,Gujarat,myscheme,The scheme provides financial assistance to farmers across Gujarat in adding value to their crops by providing financial assistance for purchasing machinery.,Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Machinery Subsidy,Value Addition In Crops,Financial Assistance / Grant,Purchasing,Gujarat,,,,,,,,
Scheme to Encourage Students for Innovative Projects,https://www.myscheme.gov.in/schemes/sesip,Puducherry,myscheme,"The scheme aims to encourage students in the State of Goa who have technological innovative ideas, which they want to translate into a working prototype, by providing financial assistance. It offers financial support of up to ₹50,000/- to eligible students for innovative academic projects.",Education,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Financial Assistance / Grant,Student,Not Specified,Not Specified,Innovation,Project,Prototype,Student,Technology,Education,Student / Youth,Financial Assistance / Grant,,,,,,,
Scheme to Encourage the Children of Sanitation Workers Who have Passed the Class 10/12 Examination (GSKVN),https://www.myscheme.gov.in/schemes/secshms1012e,Gujarat,myscheme,"Under this scheme, children of sanitation workers who have achieved first, second, or third rank in the board exams of Class 10 and Class 12 (General Stream and Science Stream) across the state are awarded cash prizes and certificates of appreciation.",Education,All,All / Not Specified,Not Specified,Student / Youth,General / Not Specified,Not Specified,Student,Not Specified,Not Specified,Cash Prize,Class 10,Class 12,Sanitation Worker,Student,Top Rank,Education,Student / Youth,,,,,,,
Scheme to Give Incentive-Prize to Gaushala/ Panjrapole,https://www.myscheme.gov.in/schemes/sgipgp,Gujarat,myscheme,"The ""Scheme to Give Incentive-Prize to Gaushala/ Panjrapole"" focuses on enhancing the management and operation of Gaushalas and Panjrapoles by offering incentive prizes to the top performers.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Not Specified,Not Specified,Not Specified,Agriculture,Animal Husbandry,Incentive,Gaushalas Panjrapoles,Gaushala Panjrapole,Panjrapoles Offering,Focuses Enhancing,Performers,Operation,Prizes,,,,,
Scheme to Grant Monthly Financial Assistance to the Persons Engaged in Traditional Occupations/Businesses including Motorcycle Pilots,https://www.myscheme.gov.in/schemes/sgmfapetobmp,Goa,myscheme,"The scheme aims to provide Social Security and Financial Support for healthy living to those engaged in traditional occupations/businesses and motorcycle pilots. It offers monthly financial assistance of ₹1,000/- to eligible persons of Goan Origin who meet specified age and income criteria.",Business & Finance,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Business,Financial Assistance,Livelihood,Occupation,Pilot,Business & Finance,Financial Assistance / Grant,Motorcycle,Origin,Income Criteria,,,,,
Scheme to Increase Seed Replacement Rate (SRR),https://www.myscheme.gov.in/schemes/stisrr,Gujarat,myscheme,"The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve crop productivity through providing certified seeds at subsidized rates to all farmers across the state.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Not Specified,Not Specified,Not Specified,Certified Seeds,Seed Distribution,Seed Replacement Rate,Subsidy,Agriculture,Improve Crop,Srr,Crop Productivity,Seeds Subsidized,Subsidized Rates,,,,,
Scheme to Promote Mechanization for the Development of Horticulture,https://www.myscheme.gov.in/schemes/stpmtdh,Madhya Pradesh,myscheme,The scheme aims to promote mechanization for the development of horticulture by providing subsidies to farmers for purchasing modern agricultural machinery used in horticultural crops.,Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Subsidy,Not Specified,Not Specified,Not Specified,Horticulture,Mechanization,Modern Machines,Subsidy,Agriculture,Agricultural Machinery,Used,Horticultural Crops,Farmers Purchasing,Subsidies Farmers,,,,,
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,https://www.myscheme.gov.in/schemes/spacroam,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Not Specified,Not Specified,Not Specified,Agricultural Malls,Agriculture,Assistance For Construction,Retail Outlets,Farmers,Ensuring Better,Market Committees,Selling,Dept Gujarat,Cooperation Dept,,,,,
Scheme to Provide Assistance for Setting Up Farmer Support Centers in State Market Committees and for Computerization of All Market Committees,https://www.myscheme.gov.in/schemes/spafsg,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to establish farmer support centers at market committee levels and computerize all market committees in Gujarat.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Not Specified,Farmer,Not Specified,Not Specified,Agriculture,Computerization,Farmer Support Centers,Market Committees,Farmer,Committees Gujarat,Establish,Levels,Welfare Cooperation,,,,,,
Scheme to Provide Assistance in Cow Maintenance Expenses to Farmers Practicing Completely Natural Farming Based on Indigenous Cows,https://www.myscheme.gov.in/schemes/smpacmetf,Gujarat,myscheme,This scheme provides financial assistance for the maintenance of one indigenous cow to farmers who practice completely natural farming methods using native cows.,Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Agriculture,Animal Husbandry,Cattle Development,Natural Farming,Financial Assistance / Grant,Farming Methods,Indigenous Cow,Completely,Practice,Cows,,,,,
Scheme to Provide Assistance to Processing Units in State Market Committees,https://www.myscheme.gov.in/schemes/apapusmc,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support market committees in Gujarat by providing financial assistance for the establishment of processing units.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Agriculture,Market Committees,Processing Units,Financial Assistance / Grant,Committees Gujarat,Welfare Cooperation,Establishment,Farmers Welfare,,,,,,,
Scheme to Provide Assistance to Sate Market Committees as well as Taluka-District Co-operative Purchase and Sale Union to Construct Large Size Warehouse Godowns,https://www.myscheme.gov.in/schemes/spsmct,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to State Market Committees and Taluka-District Co-operative Purchase and Sale Unions for constructing large-sized warehouse godowns",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Agriculture,Market Committee,Warehouse Godowns,Financial Assistance / Grant,Large-sized,Sale Unions,Purchase Sale,Co-operative,Committees,Constructing,,,,,
Scheme to Provide Electric Scooter to Disabled Person,https://www.myscheme.gov.in/schemes/spesdp,Gujarat,myscheme,"The ""Scheme to Provide Electric Scooter to Disabled Person"" provides financial assistance of up to ₹25,000 for the purchase of electric scooters to eligible persons with orthopedic disabilities.",Health,All,All / Not Specified,BPL / EWS / Low Income,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Below Poverty Level,BPL,Disability Person,Electric Scooter Subsidy,Orthopedic Disability,Health,BPL / EWS / Low Income,Financial Assistance / Grant,Persons with Disability,,,,,,
Scheme to Provide Financial Assistance for Translation of Scholarly Works,https://www.myscheme.gov.in/schemes/sfatsw,Gujarat,myscheme,The scheme aims to encourage cultural exchange and literary development by providing financial assistance for translating high-quality literary and research works between Gujarati and other Indian languages.,Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Book Translation Grant,Scholarly Works Support,Financial Assistance / Grant,Literary,Indian Languages,Gujarati,Exchange,High-quality,Cultural,Research,,,,,
Scheme to Provide Financial Assistance for the Production and Publication of Excellent Original Children's Literature,https://www.myscheme.gov.in/schemes/stpfapcl,Gujarat,myscheme,"The scheme aims to promote high-quality literary works for children by providing financial support to Gujarati authors for publishing original, unpublished children's books that contribute to cultural and moral development.",Other / Uncategorized,All,All / Not Specified,Not Specified,Child,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Book Publishing Aid,Child Literature,Kids Books,Child,Financial Assistance / Grant,High-quality Literary,Unpublished,Literary Works,Promote High-quality,Gujarati,,,,,
Scheme to Provide Financial Assistance in the Form of Grant-In-Aid to Bhajani/ Choir/ Cultural Group/ Institutions for Purchase of Musical Instruments,https://www.myscheme.gov.in/schemes/spfafgiabccgipmi,,india_only,The Scheme Provides Financial Assistance in the form of a Grant-In-Aid to Bhajani/ Choir/ Cultural Group/ Institutions for the Purchase of Musical Instruments. The Scheme is implemented by the Directorate of Art and Culture.,Culture & Sports,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Grant,Financial Assistance,Musical Instrument,Choir,Culture,Culture & Sports,Financial Assistance / Grant,Purchase Musical,Institutions Purchase,Cultural Group,,,,,
Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,https://www.myscheme.gov.in/schemes/spfasae,Gujarat,myscheme,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Sanedo Equipment,Financial Assistance / Grant,Enhances,Mini Tractor,Reduces,Dependency,Efficiency,Operations,,,,,
Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm,https://www.myscheme.gov.in/schemes/spatsp,,india_only,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing solar power units/kits for solar fencing around their farms to protect crops from damage caused by wild and stray animals.",Agriculture,All,All / Not Specified,Not Specified,All Ages,Agriculture,Financial Assistance / Grant,Farmer,Not Specified,Not Specified,Agriculture,Farmer,Solar Power Unit,Financial Assistance / Grant,Protect Crops,Wild Stray,Fencing Farms,Caused Wild,Stray Animals,Crops Damage,,,,,
Scheme to Provide Financial Assistance to Registered Organizations/Government Organization/Non-Government Organizations/Institutions for Running Residential Facilities/Half Way Homes for Persons with Disabilities,https://www.myscheme.gov.in/schemes/spfarogongoirrfhwhpwd,Goa,myscheme,"The scheme aims to provide financial assistance to registered organizations, Government organizations, and institutions for running residential facilities or halfway homes for Persons with Disabilities. The scheme provides financial support in the form of operational grants.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Disability,Grant,Institution,NGO,PwD,Shelter,Health,Financial Assistance / Grant,Persons with Disability,,,,,,
Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors,https://www.myscheme.gov.in/schemes/spfappbga,Goa,myscheme,"""Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors""  by the Directorate of Art and Culture, Government of Goa, has been designed to promote Goan publishers to provide them with financial support for the publication of books.",Culture & Sports,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Book,Culture,Financial Assistance,Publish,Culture & Sports,Financial Assistance / Grant,Goan,Authors,Directorate Art,Publication,,,,,
Scheme to Provide Grant in Aid to Cultural Organization (Maintenance/ Regular Grants),https://www.myscheme.gov.in/schemes/spgiacomrg,Goa,myscheme,"""Scheme to Provide Grant in Aid to Cultural Organization (Maintenance/ Regular Grants)"" by the Directorate of Art and Culture, Govt. of Goa, aims to provide financial support to voluntary Cultural Organizations in order to promote cultural activities and to create and develop cultural talent in Goa.",Culture & Sports,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Artist / Performer,Not Specified,Not Specified,Artist,Culture,Grant,Reimbursement,Talent,Culture & Sports,Financial Assistance / Grant,Artist / Performer,,,,,,,
Scheme to Provide Grant to the Institutions for Long Term Project in the Field of Art and Culture (Sarjansheel Goa),https://www.myscheme.gov.in/schemes/spiltpfacsg,Goa,myscheme,"""Scheme to Provide Grant to the Institutions for Long Term Project in the Field of Art and Culture (Sarjansheel Goa)"" implemented by the by the Directorate of Art and Culture, provides financial support to the institutions/ individuals involved in long-term projects in the field Art & Culture.",Culture & Sports,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Culture,Grant,Project,Culture & Sports,Financial Assistance / Grant,Art,Field,Institutions,Long Term,Individuals Involved,,,,,
Scheme to Provide Monthly Financial Assistance to Elderly and Eligible Writers,https://www.myscheme.gov.in/schemes/spmfaeew,Gujarat,myscheme,The scheme aims to support senior writers facing financial hardship by offering monthly assistance to those who have made notable contributions to Gujarati or associated language literature.,Social Welfare,All,All / Not Specified,Not Specified,Senior Citizen,Public Administration / Welfare,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Assistance For Author,Elderly Writer,Literary Welfare,Social Welfare,Senior Citizen,Public Administration / Welfare,Financial Assistance / Grant,Offering Monthly,Notable,Senior Writers,,,,,
Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers,https://www.myscheme.gov.in/schemes/sprcddrbw,Andhra Pradesh,myscheme,"The ""Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers"" is a Welfare Scheme by the Andhra Pradesh Building & Other Construction Workers LET&F (Labour) Dept. The scheme provides financial assistance to help mitigate the financial burden on the worker's family.",Health,All,All / Not Specified,Not Specified,All Ages,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Persons with Disability,Not Specified,Accident,Construction Worker,Death,Differently-abled Person,Financial Assistance,Health,Public Administration / Welfare,Financial Assistance / Grant,Unorganized Sector Worker,Persons with Disability,,,,,
Scheme to Provide Special Financial Assistance for Organizing Cultural Events,https://www.myscheme.gov.in/schemes/spsfaoce,Goa,myscheme,"""Scheme to Provide Special Financial Assistance for Organizing Cultural Events"" is a Grant-In-Aid to the NGOs designed to provide financial support to institutions, cultural groups and individuals to organize/conduct various types of Cultural Events/Programmes/ Exhibitions/Festivals/Workshops.",Other / Uncategorized,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Event,Exhibition,Festival,Grant,NGO,Workshop,Financial Assistance / Grant,Cultural,Individuals Organize,Groups Individuals,,,,,
Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training,https://www.myscheme.gov.in/schemes/spspwdpf,Gujarat,myscheme,"The ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" aims to promote poultry rearing skills among persons with disabilities through a ₹2,000/- stipend for attending a 7-day training program conducted by the Intensive Poultry Development Unit.",Health,All,All / Not Specified,Not Specified,All Ages,General / Not Specified,Financial Assistance / Grant,Not Specified,Persons with Disability,Not Specified,Animal Husbandry,Disability Empowerment,Poultry Training,Skill Development,Stipend,Health,Financial Assistance / Grant,Persons with Disability,,,,,,,
Schemes Of HP Minorities Finance & Development Corporation,https://www.myscheme.gov.in/schemes/hpmfd,,india_only,"Social, educational and economic upliftment of the minority class people living below the poverty line of the state.",Employment & Skill Development,All,Minority,Not Specified,All Ages,Public Administration / Welfare,Loan / Credit,Not Specified,Not Specified,Not Specified,Minority,Loan,Social Welfare,Employment,Employment & Skill Development,Public Administration / Welfare,Loan / Credit,Social Educational,Educational Economic,Class People,,,,,
Schemes for welfare of School Children belonging to BPL and BC(A) families: Monthly Stipend for BC-A Students,https://www.myscheme.gov.in/schemes/wsbcas,Haryana,myscheme,"The scheme aims to provide financial assistance to students from Backward Classes (BC-A) families to support their education. Under this scheme, eligible students studying in Classes 1 to 12 in Haryana Government schools receive a monthly stipend.",Education,All,All / Not Specified,BPL / EWS / Low Income,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Backward Classes,Scholarship,Stipend,Student,Education,BPL / EWS / Low Income,Student / Youth,Financial Assistance / Grant,,,,,,,
Schemes for welfare of School Children belonging to BPL and BC(A) families: Monthly Stipend for BPL Students,https://www.myscheme.gov.in/schemes/wcbpls,Haryana,myscheme,"The scheme aims to provide financial assistance to students from BPL students to support their education. Under this scheme, a monthly stipend is provided to students studying in classes 1 to 12 in Haryana Government schools.",Education,All,All / Not Specified,BPL / EWS / Low Income,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,BPL,Scholarship,Stipend,Student,Education,BPL / EWS / Low Income,Student / Youth,Financial Assistance / Grant,,,,,,,
Scholarship (Above VIII Standard) - Tamil Nadu,https://www.myscheme.gov.in/schemes/saviiisbwodap,Tamil Nadu,myscheme,"The 'Scholarship (Above VIII Standard) by Welfare of Differently Abled Persons' scheme was launched by the Department for the Welfare of Differently Abled Persons, Tamil Nadu. The scheme aims to provide scholarships to differently-abled students studying in government school/colleges/training centre",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Persons with Disability,Not Specified,Different Abled Person,Education,Scholarship,Student,Student / Youth,Persons with Disability,Welfare Differently,Abled Persons,Differently Abled,Viii Standard,,,,,
Scholarship (I to VIII Standard) by Welfare of Differently Abled Persons,https://www.myscheme.gov.in/schemes/sitviiisbwodap,Tamil Nadu,myscheme,"The 'Scholarship (I to VIII Standard) by Welfare of Differently Abled Persons' scheme was launched by the Department for the Welfare of Differently Abled Persons, Tamil Nadu. The scheme aims to provide scholarships to purchase notebooks for differently-abled students studying in government school.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Persons with Disability,Not Specified,Book,Differently-abled Person,Scholarship,Student,Education,Student / Youth,Persons with Disability,Welfare Differently,Abled Persons,Differently Abled,,,,,
"Scholarship For Cadets Of Rashtriya Indian Military College (RIMC), Dehradun",https://www.myscheme.gov.in/schemes/scrimc,Mizoram,myscheme,"The objective of the Scheme is to provide financial assistance to Mizo students permanently residing in the States of studying at RIMC, Dehradun, to enable them to qualify and joint National Defence Academy and further to the Armed Forces. The scheme is 100% funding from the State Plan Fund",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Financial Assistance / Grant,Student,Not Specified,Not Specified,Cadets,Defence,Military,Scholarship,Student,Education,Student / Youth,Financial Assistance / Grant,,,,,,,
Scholarship For Cadets Of Sainik School Imphal,https://www.myscheme.gov.in/schemes/scossi,Mizoram,myscheme,"The objective of the Scheme is to provide financial assistance to Mizo students permanently
residing in the States of studying at Sainik School Imphal, to enable them to qualify and joint National Defence Academy and further to the Armed Forces.",Education,All,All / Not Specified,Not Specified,All Ages,Education,Financial Assistance / Grant,Not Specified,Not Specified,Not Specified,Direct Benefit Transfer,Financial Assistance,Sainik School,Sainik School Imphal,Scholarship,Education,Financial Assistance / Grant,Qualify Joint,Mizo Students,Residing States,,,,,
Scholarship For Differently Abled Students,https://www.myscheme.gov.in/schemes/sdas,Kerala,myscheme,"The scheme “Scholarship for Differently Abled Students” was launched by the Department of Social Justice, Government of Kerala.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Persons with Disability,Not Specified,Disability,Education,Scholarship,Student,Student / Youth,Persons with Disability,Kerala,Differently Abled,Social Justice,,,,,,
Scholarship For Transgender Students,https://www.myscheme.gov.in/schemes/sts,Kerala,myscheme,"The scheme “Scholarship for Transgender Students” was launched by the Social Justice Department, Government of Kerala for providing scholarships to Transgender students from 7th standard onwards studying in State Government/ Government aided/ Self Financing schools.",Education,All,All / Not Specified,Not Specified,Student / Youth,Education,Scholarship,Student,Not Specified,Not Specified,Scholarship,Student,Transgender,Education,Student / Youth,Financing,Onwards,Aided,Self,Standard,,,,,
